tagName,Count,Excerpt
"human-biology","2317","This tag is for questions about the general biological features of human beings (as opposed to the biology of non-humans)."
"genetics","2116","Genetics is the branch of biology that deals with the transmission and variation of inherited characteristics."
"evolution","2001","Changes in the heritable attributes of populations of organisms over time. The mechanisms of evolution are mutation, migration, drift, and selection."
"species-identification","1856","Questions looking to find the name of a specific organism.  Please include as much information as possible on location/habitat, size/characteristics and behavior. Ideally, you should provide images.  "
"biochemistry","1758","The study of chemistry within the scope of biology: the compounds that occur and the reactions involving them in living organisms."
"molecular-biology","1480","The study of the molecular processes underlying life."
"cell-biology","1424","The study of cells and their physiological properties, structure, environmental interaction, division, life cycle, and death, as well as the organelles they contain. Also known as cytology."
"zoology","1299","The biological study of animals. Very broad use so be sure to add additional clarifying tags"
"botany","1255","The study of plants and plant life."
"neuroscience","1202","The study of the structure and function of the nervous system and its components."
"entomology","1136","The scientific study of Insects. If the question is about some other group of arthropod use 'arthropod' tag."
"dna","1129","Deoxyribonucleic acid (DNA) is the carrier of genetic information, including for all known living organisms. The only known exceptions are RNA viruses."
"bioinformatics","911","The science of collecting and analyzing complex biological data such as genetic codes using informatics."
"physiology","848","The study of the normal function of living organisms and their anatomical parts and the means by which their normal functioning is achieved. "
"microbiology","822","Microbiology is the study of extremely small organisms. This includes organisms like bacteria, fungi, protozoa, and viruses."
"proteins","782","Biopolymers consisting of amino acids that fold into 3D shapes and perform a large number of functions in living organisms."
"immunology","600","The study of the immune system in organisms, primarily responsible for fighting infection."
"bacteriology","566","A subdivision of microbiology dedicated to the study of bacteria. "
"molecular-genetics","561","The scientific study of the structure and function of genes at the molecular level, particularly chromosomes and DNA."
"homework","532","This tag indicates that the question is likely based on a home assignment in biology-related university or high school courses or is about an elementary concept that may seem trivial to biology professionals. Please see the homework policy on meta before asking homework questions."
"human-anatomy","502","This tag is for questions about the general anatomical features of human beings as opposed to the anatomy of non-human animals."
"brain","469","The primary component of the central nervous system, which, along with the spinal cord, controls the body of bilaterally symmetrical beings. "
"ecology","467","Interactions and relationships among organisms and their environment. This includes biotic and abiotic (non-living/environmental) factors that impact organisms."
"metabolism","466","Metabolism is the set of defined biochemical transformations occurring within the cells of living organisms. "
"terminology","460","How terms are used or the meaning of words as used in scientific literature.  Questions should ideally include a link or quote as context for where the term was encountered."
"neurophysiology","446","The study of the physiology of the nervous system, with emphasis on transcellular communication, and cellular and molecular processes involved in neural communication."
"plant-physiology","435","Study of the normal functioning of plants and plant cells"
"virology","414","Virology deals with the study of viruses, infectious entities that require the machinery of a host cell to replicate."
"human-genetics","400","The scientific study of inheritance as it occurs specifically in human beings."
"reproduction","392","The biological process by which new individuals are formed."
"cancer","376","A malignant group of uncontrollably dividing cells that form a tumour.  Questions regarding (proto)oncogenes and tumour-suppressor genes should also use this tag. "
"pharmacology","372","Pharmacology is the study of the interactions that occur between a living organism and chemicals that affect normal or abnormal biochemical function."
"pathology","355","The study of diseases, including their causes and effects."
"dna-sequencing","329","Technique(s) by which the sequence of DNA is obtained. The principles are similar for RNA-sequencing."
"lab-techniques","327","Questions relating to protocols, procedures, and good practice when using laboratory equipment."
"gene-expression","324","The process by which information encoded in a gene is converted into a functional protein or RNA, resulting in or contributing to a phenotype."
"enzymes","318","Enzymes are globular proteins that catalyse a biochemical reaction, increasing the overall rate by reducing activation energy. Most chemical reactions in a cell need enzymes in order to occur at rates sufficient to sustain life."
"food","313","Any substance consumed to provide nutritional support for the body."
"human-physiology","312","For questions on the biochemical, physical, and mechanical functioning of humans in good health including their organs and cells.
"
"ornithology","306","Questions relating to the study of birds."
"population-genetics","304","Questions related to the study of the distributions and changes of allele frequency in a population."
"rna","295","RNA, or ribonucleic acid, is a biological macromolecule made of nucleotides used in cells to convey genetic information to protein. RNA also plays a role in catalyzing certain biological reactions as well as carrying genetic material in some viruses. "
"photosynthesis","281","The process by which light energy is harnessed to assemble organic compounds (esp. glucose) from inorganic carbon dioxide."
"vision","279","Questions regarding how the brain interprets information from the eyes.  Consider using the ""eyes"" tag for discussion of eye anatomy, physiology and evolution."
"hematology","274","The study of blood, the blood-forming organs, along with blood diseases and their treatment."
"cardiology","271","The study of the physiology and pathology of the heart and the cardiovascular system."
"theoretical-biology","264","Questions relating to biological theory or theoretical developments that deals with biological processes.
 "
"biophysics","260","The use of methods from the physical sciences to aid in the study of biological systems."
"muscles","251","The contractile tissue of animals derived from the mesodermal layer of embryonic germ cells."
"eyes","251","The discussion of the anatomy and evolution of eyes.  Consider using the ""vision"" tag for questions regarding how the brain interprets information from the eyes. "
"mutations","249","A change in an organism's genomic sequence."
"natural-selection","246","A mechanism of evolution that leads to non-random spread of genes due to the effect that genes have on reproductive success."
"taxonomy","240","Questions on the classification of biological organisms, and the methods used for classifying them."
"endocrinology","239","The area of physiology dealing with the production and effects of hormones."
"ethology","236","The study of animal behaviour."
"pcr","231","Polymerase Chain Reaction is a method of replicating DNA exponentially from even a single molecule."
"anatomy","229","The study of the structure of organisms and their parts."
"genomics","229","The study of genomes, the entire set of genes in an organism."
"chromosome","227","A single piece of DNA coiled and organized along with RNA and proteins found in the cell."
"behaviour","225","The set of actions performed by an organism within a given environment"
"medicine","220","Medicine is the doctrine of prevention, diagnosis and treatment of diseases and injuries in humans and animals.

Health and medicine questions are off-topic unless dealing with the biology underlying health and medicine. Please carefully explore the tour, help centre, and meta before posting health and medicine questions.
"
"cell-membrane","216","A selectively-permeable biological membrane that separates the interior of all cells from the outside environment."
"development","213","The process through which a biological organism grows to maturity.  In certain contexts it can mean the changes the organism goes through over its entire lifetime."
"mycology","212","The scientific study of fungi."
"human-evolution","202","The study of evolution with a particular focus on questions about the evolution of modern humans. "
"neuroanatomy","197","Study of the anatomy and organization of the nervous system."
"phylogenetics","197","A sub-discipline of evolutionary biology which involves the study of evolutionary relatedness between different organisms based on their molecular and morphological features."
"mammals","194","Questions related to mammals, animals that nurse their young, have a neocortex, and three middle ear bones."
"nutrition","193","The study of the appropriate provisions required to sustain life in an organism or the provisions themselves."
"literature","190","Questions about scientific journal papers, books or other written sources, or for requests for references."
"plant-anatomy","185","The study of the form and internal structures of plants."
"cell-culture","178","Cell culture is the process of growing and maintaining living cells in vitro."
"gene","178","The basic unit of heredity which encodes for some function RNA or protein product."
"human-eye","175","Questions about the biological function and structure of the human eye."
"statistics","164","The study of the collection, analysis, and interpretation of data."
"species","163","The basic unit of taxonomic classification."
"arachnology","161","Arachnology is the scientific study of spiders and related animals such as scorpions, pseudoscorpions, harvestmen, collectively called arachnids. It can include the study of ticks and mites which is sometimes also called acarology."
"trees","160","Common classification for perennial plants with woody, elongated stems."
"database","160","Questions pertaining to organized collections of biological data."
"biotechnology","159","Biotechnology is a field of biology which utilizes biological systems like microorganisms to produce valuable products, such as biofuels, drugs, and vaccines."
"transcription","159","The process that produces a complementary strand of RNA from a section of DNA or (rarely) other RNA."
"digestive-system","158","Organs that play a role in digestion and/or absorption of nutrients: breaking down of food into smaller components that can be absorbed and used as for sources of energy, cellular/tissue building blocks, or cofactors for vital biochemical reactions."
"population-dynamics","156","The scientific study of short- and long-term changes in the size and age composition of populations and the processes driving these changes."
"embryology","155","The study of the development of an embryo from fertilisation through to description as a foetus.  "
"blood-circulation","155","Tag for questions regarding the circulation of blood through out the organism and issues that may arise from dysfunction of systemic circulation."
"marine-biology","153","The study of organisms that dwell in the ocean or brackish waters."
"electrophysiology","148","The study of the electrical properties of biological cells and tissues."
"toxicology","147","The branch of biology, chemistry, and medicine concerned with the study of the adverse effects of chemicals on living organisms."
"ichthyology","147","Questions relating to the study of fish or icthyology."
"coronavirus","147",""
"molecular-evolution","146","The study of evolutionary mechanisms in operation at the molecular scale, primarily DNA, RNA, and proteins."
"immune-system","142","This tag is for general questions related directly or indirectly to the vertebrate immune system, but are not questions directly related to Immunology, the discipline of the study of the immune system."
"amino-acids","142","Amino-acids are organic acids with an amino group in the alpha position (alpha-acids). They are the structural units of proteins and involved in many biochemical pathways."
"neurology","141","The medical specialty involving the diagnosis and treatment of all categories of disease involving the central, peripheral, and autonomic nervous systems, including their coverings, blood vessels, and all effector tissue, such as muscle."
"sleep","139","The biological process characterized by reversible unconsciousness, unresponsiveness to external stimuli and motor passivity."
"cellular-respiration","138","The process in which energy is liberated from organic molecules producing ATP."
"nomenclature","138","The principles, conventions, and terms used to systematically classify biological information, entities, processes, but also subfields of biology."
"respiration","138","The exchange of gases across organs that facilitate transport of the gases to and from the cells of the organism."
"microscopy","136","The technique of using microscopes to view objects that are otherwise too small to be easily seen by the naked eye."
"population-biology","134","Questions pertaining to populations of organisms."
"protein-structure","131","The 3-dimensional organisation of amino acids in a protein, specifically including the secondary, tertiary and quaternary structures."
"book-recommendation","129","Questions relating to requests for basic reference materials on a broad area of study."
"skin","129","The skin, part of the integumentary system."
"epidemiology","127","The study of the distribution, incidence, and potential control of a disease."
"virus","127","A virus is a small infectious agent that can replicate only inside the living cells of an organism. Virology is the study of viruses."
"experimental-design","126","Questions on how to plan an experiment to gain the best results.  Also suitable for questions on why other researchers followed a certain procedure."
"antibody","125","A protein produced by the B-cells of the immune system which binds to a particular antigen, a foreign substance to the body."
"neurotransmitter","122","Small molecules involved in the propagation of a nerve signal across the synapses. "
"sensation","117","Sensation is dealing with the processing of the senses, including the traditional senses vision, hearing, taste, smell and touch, but also sense experiences such as vestibular and pain. It typically involves the higher-level cortical brain areas associated with the conscious experience of physical stimuli.  "
"sequence-analysis","116","Analysis of DNA, RNA or protein (amino acid) sequences. Here sequences are compared so analyze similarities and conserved regions. Sequence analysis is usually done by specialized software."
"mitochondria","116","The organelle in eukaryotes where the main stages of respiration occur."
"cell-signaling","115","Tag for questions related to the process of cells receiving a stimulus from its environment, or from itself (autocrine signaling), and responding as a result of the stimulus."
"digestion","115","The physiological process of breaking down food into its constituent parts to provide nutrition for the body."
"rna-sequencing","114","Determining the sequence of RNA. This technique is used for discovery and quantification of mRNAs and ncRNAs. "
"sex","111","Questions involving the study of sex and reproduction, mating systems, sexuality, sex determination, gender, the evolution of sex, and other topics in the context of sex."
"cloning","109","The process in nature or in the lab by which a new organism is created that is genetically identical to its predecessor.  "
"structural-biology","108","The study of the molecular structure of biological macromolecules and how that structure relates to their function."
"senescence","107","The process of biological aging or the state of an organism being biologically old. "
"translation","106","Translation is the process of protein synthesis. The information encoded in the mRNA is translated into an amino acid sequence through the joint activity of tRNAs and ribosomes."
"genomes","105","The entirety of an organism's hereditary information."
"meiosis","105","Division of a diploid cell to produce four haploid cells for the purposes of reproduction."
"health","104","Health and medicine questions are off-topic unless dealing with the biology underlying health and medicine. Please carefully explore the tour, help centre, and meta before posting health and medicine questions. 

Health is a physiological state of well-being referring to the (ab)normality of the cellular or organismal physiology."
"dna-replication","103","The biosynthetic process by which copies of a DNA molecule are made."
"action-potential","103","A rapid change in the membrane potential of excitable cells such as neurons and muscles; this usually involves a steep rise  (depolarization) followed by a steep fall in membrane potential (repolarization). The cell subsequently enters a short refractory period (hyperpolarized state) during which it cannot generate another action potential."
"infection","103","An infection is caused by the invasion of by pathogenic organisms (bacteria, viruses or worms) into a host. These pathogenic organisms live and multiply in its host and cause diseases by this."
"protein-binding","101","Questions relating to the binding of proteins to each other and other molecules."
"growth","101","In reference to a biological system over time, growth refers to the increase in physical size/mass as well as the progression through its life cycle."
"gel-electrophoresis","100","A method for analyzing or purifying samples. Molecules are separated by their relative weight, charge, or stereochemistry, which affect their speed of movement through a gel."
"perception","98","Perception is the process of attaining awareness or understanding of the environment by organizing and interpreting sensory information coming from body receptors and sensory organs into CNS."
"vaccination","98","The administration of antigenic material to stimulate the immune system of an individual to develop adaptive immunity to a disease."
"plasmids","97","Often circular segments of DNA that can replicate outside of the chromosomes.  Generally found in bacteria."
"palaeontology","97","Palaeontology is the study of organisms that lived in prehistoric times."
"history","96","Questions relating to how the field of biology has developed over time."
"hearing","95","Hearing is the ability to perceive sound by detecting vibrations through an organ such as the ear."
"mathematical-models","94","Models that analyse biological systems or processes using the tools of applied mathematics. "
"red-blood-cell","94","Questions pertaining to red blood cells, or erythrocytes, the most common type of blood cell that is responsible for delivering oxygen throughout the body."
"breathing","93","The physiological process of inhaling and exhaling air for the purpose of gas exchange in the lungs."
"psychology","92","The scientific study of behaviour and of the mind."
"protein-folding","91","The process in which a protein folds into a three-dimensional shape to achieve proper functioning."
"snp","91","Single nucleotide polymorphisms, or SNPs, are differences between two sequences of DNA at one individual nucleotide location."
"life","91","A process defining organisms that grow and adapt to stimuli while maintaining a state of organization and energy production and being capable of reproduction."
"temperature","91","Questions dealing with biological processes in relation to temperature, for instance temperature effects on metabolism, enzyme function or development time. Temperature can be measured on many different scales, e.g. in degrees Fahrenheit or Celsius, or Kelvin."
"parasitology","91","The study of parasites, their hosts, and the relationship between them."
"sexual-reproduction","91","Reproduction involving two morphologically distinct gametes, such as sperm and egg, where offspring inherit genes from two parents."
"fruit","91","Fruits develop from the flower of plants and hold the seeds. They are the way of plants to distribute their seeds."
"light","89","Electromagnetic radiation, specifically the range of wavelengths visible to humans (""visible light"")."
"synthetic-biology","88","Synthetic biology is an approach to engineer biology. Core to the discipline is genetic engineering, which is made more akin to engineering by adding the levels of standardization, automation, and abstraction."
"death","88","A state in which an organism or a cellular system, as defined by its full set of functionality, ceases to exist (i.e., most of the functions are irreversibly lost). "
"stem-cells","87","Cells which have not fully differentiated yet, i.e. with the potential to develop into other kinds of cells through asymmetric cell division."
"bioenergetics","86","The study of energy and its transformations as it pertains to living systems in the context of biochemistry."
"human-genome","86","The 23 chromosome pairs, made up of 3 billion base-pairs, 22 chromosomes of which are autosomal and one which is an allosome, or sex chromosome."
"epigenetics","85","Mechanisms for inheriting phenotype outside of the genomic DNA sequence."
"mrna","84","Messenger RNA is produced during transcription before it leaves the nucleus to be be translated by a ribosome.  This produces a sequence of nucleic acids for which mRNA is considered the template."
"histology","84","Microanatomy of cells and tissues"
"antibiotics","83","Biologically-synthesized chemicals (or their derivatives) that cause growth suppression or death of bacteria. Other anti-microbials are often also considered under the class antibiotics these days."
"mitosis","82","The eukaryotic process characterized by replication of nuclear DNA and formation of a second identical nucleus. Separate from cytokinesis."
"receptor","80","A receptor is a molecular target for a chemical signal such as a neurotransmitter, hormone, or drug. Binding of the signal to the receptor initiates or modulates behaviour in the receiving cell."
"pain","80","Tag for questions pertaining the sensation of unpleasant sensory and emotional experiences associated with actual or potential tissue damage."
"central-nervous-system","78","The complex of nerve tissues including the brain and spinal cord, but excluding the peripheral nervous system."
"senses","78","The physiological mechanisms by which organisms perceive their environment."
"sequence-alignment","77","A computational technique to compare two nucleotide or protein sequences. There are two basic types of sequence alignment i.e. local alignment (local comparison of subsequences) or global alignment (end to end comparison of the entire sequences)."
"infectious-diseases","77",""
"adaptation","77","Adaptation refers to both the current state of being adapted and to the dynamic evolutionary process that leads to the adaptation."
"enzyme-kinetics","77","Enzyme kinetics are the studies of the biophysical properties of enzymes and their substrates."
"allele","76","Alleles are different forms (among many possible alternative forms) of the same gene."
"flowers","76","Reproductive structures of angiosperm (flowering) plants."
"data","75","Data refers to a set of observations or measurements obtained for research purposes. Typically, quantitative or qualitative analysis is carried out on them.  "
"computational-model","74","A computational model is a mathematical model in computational science that requires extensive computational resources to study the behavior of a complex system by computer simulation."
"diet","74","The amount and variety of food consumed by an organism, usually for nutrition."
"definitions","73","Questions looking for clarifications or definitions of biological terminology."
"bone-biology","73","Study of the structural component of the vertebrate skeleton. Bone is a dense connective tissue composed of various cell types as well as collagen and mineralized calcium."
"protocol","73","A predetermined methodology for carrying out an experiment."
"hiv","72","The Human Immunodeficiency Virus (HIV) is a single-stranded RNA virus which reproduces in human CD4-positive cells, which are primarily T-helper lymphocytes and macrophages. HIV is the causative pathogen of Acquired Immunodeficiency Syndrome (AIDS)."
"energy","72","for questions relating to chemical, mechanical, electromagnetic, thermal, kinetic or potential energy or any other energy related directly to biological organisms or biological systems"
"yeast","72","Yeasts are a polyphyletic group of unicellular fungi. Usually the term yeast is used synonymously with baker's yeast - Saccharomyces cerevisiae."
"biostatistics","72","The branch of statistics that deals with data relating to living organisms."
"invertebrates","71","A paraphyletic classification for animals lacking a vertebral column."
"methods","71","The methods tag can be used for questions on experimental hardware; experimental set up; experimental procedures; surgical techniques etc.   "
"ant","71","Ants are social insects in the family Formicidae, a member of the Hymenoptera, which also includes the wasps and bees."
"fat-metabolism","71","The set of biochemical processes involved in the creation and utilization of lipids."
"environment","70","The natural world, especially pertaining to the interactions of life therein."
"evolutionary-game-theory","70","The application of dynamic systems and game theory to evolving populations in biology, economics, and social sciences. It is particularly well suited for studying social dilemmas like the evolution of cooperation and altruism."
"hair","68","Hair is a biopolymer mostly made from keratin, which grows from the skin. Hair is exclusively found in mammals."
"gene-regulation","67","The processes by which gene products (largely RNA and proteins) are increased or decreased."
"tissue","66","An organization of cells sharing functional similarities."
"synapses","66","A connection between neurons, which is either continuous (in electrical synapses) or interrupted by a cleft (in chemical synapses), through which communication is established."
"membrane-transport","66",""
"recombination","65","The process of breaking and recombining strands of DNA."
"pigmentation","65","Pigmentation refers to the coloration in plants or animals due to the presence of pigment in the tissue."
"ecoli","65","Escherichia coli, a gram-negative, rod-shaped bacterium commonly found in the lower intestines of warm-blooded animals.  Used extensively in laboratory research."
"speciation","65","Questions pertaining to the processes by which new species arise."
"energy-metabolism","64","Energy metabolism is the set of defined biochemical transformations by which living organisms generate energy (in the form of ATP) from nutrients."
"lipids","64","A broad group of consisting of biomolecules that are soluble in non-polar solvents. Most of these molecules have huge hydrocarbon chains (linear or cyclic). Examples include glycerides (glyceryl esters), isoprenoids and steroids."
"crispr","64","Cluster Regularly Interspaced Short Palindromic Repeats; Naturally a prokaryotic adaptive immune system, elements of CRISPR are increasingly being used for sequence specific DNA targeting in biotechnological applications, especially genome editing. This tag can be used for questions about its natural function or biotechnological applications, including elements of the CRISPR system such as Cas9 and Cpf1 nucleases."
"vitamins","63","Questions regarding organic compounds required by an organism as a vital nutrient in limited amounts."
"herpetology","63","The study of reptiles and amphibians, and a subarea of zoology."
"glucose","62","Glucose is a monosaccheride which is build up by plants during photosynthesis. "
"organs","62","A collection of tissues which work together to accomplish a function.  The organisational unit above tissues and below systems.  "
"eukaryotic-cells","62","Organisms whose cells contain organelles, complex structures enclosed within membranes, in particular a nucleus."
"memory","62","The processes by which environmental information is encoded, stored, and retrieved."
"radiation","62","Ionizing electromagnetic waves, usually harmful to most biological beings."
"classification","61","Pertaining to the classification of organisms."
"cell-division","61","Cell devision is the process in which one parent cell divides into two daughter cells. The interiour (cytoplasm, DNA, mitchondria etc.) of the parent cell is divided between the two new cells."
"lepidoptera","60",""
"kidney","59","The kidney is an internal, bean shaped organ of vertebrates. Kidneys are responsible for secreting urine, regulate the electrolytes of the body and filter the blood."
"lungs","59","The lungs are the respiratory organ which allows the take-up of oxygen and the release of CO2. They are present in most animals which breathe air including many fish species."
"dna-isolation","58","The laboratory technique involving the extraction of DNA from a cell in a pure form."
"carbohydrates","58","A carbohydrate is a diverse group of biological molecules that contain carbon (C), hydrogen (H) and oxygen (O) atoms. They are commonly used in biological metabolism and catabolism. "
